esperimento,crop,matcher,preprocess,morph_open,morph_close,codici,modello,degrado,rot_deg,scala,tx,ty,prospettiva,ratio,loftr_conf,loftr_max_lato,ransac_thresh,seed,n_kp_a,n_kp_b,n_matches,n_inliers,inlier_ratio,rmse_px,rmse_m,err_max_px,success_stima,success,motivo,t_init_ms,t_match_ms,t_stima_ms
E1,ribba,sift,clahe,0,0,,homography,1.4,15,1.15,30,20,0.0,0.75,,,3.0,42,7900,3455,105,42,0.4,0.6352418507147647,0.16163919463992402,1.290077979153206,True,True,,,431.8,5.5
E1,ribba,sift,clahe,0,0,,homography,1.5,15,1.15,30,20,0.0,0.75,,,3.0,42,7900,3274,76,20,0.263158,707.0766565035568,179.91777647729953,1184.839379139,True,False,,,424.2,24.1
E1,ribba,sift,clahe,0,0,,homography,0.0,0,1.0,0.0,0.0,0.0,0.75,,,3.0,42,7900,7900,7900,7900,1.0,1.2096979120806008e-12,3.078112628226451e-13,2.295745876080634e-12,True,True,,,538.0,2.4
E1,ribba,sift,clahe,0,0,,homography,0.0,5,1.0,0.0,0.0,0.0,0.75,,,3.0,42,7900,7181,4701,4574,0.972984,0.02946668152907154,0.007497885515116841,0.04044958679292671,True,True,,,521.8,2.2
E1,ribba,sift,clahe,0,0,,homography,0.0,15,1.0,0.0,0.0,0.0,0.75,,,3.0,42,7900,6902,4364,4236,0.970669,0.09316169815384273,0.023705273580339744,0.09707486907122105,True,True,,,512.7,2.0
E1,ribba,sift,clahe,0,0,,homography,0.0,30,1.0,0.0,0.0,0.0,0.75,,,3.0,42,7900,6518,4363,4237,0.971121,0.18372837946753576,0.046750237340652874,0.1923185295917468,True,True,,,504.3,1.7
E1,ribba,sift,clahe,0,0,,homography,0.0,45,1.0,0.0,0.0,0.0,0.75,,,3.0,42,7900,6352,4070,3927,0.964865,0.26941737270538174,0.0685540587370025,0.2755398854483306,True,True,,,506.5,2.0
E1,ribba,sift,clahe,0,0,,homography,0.0,90,1.0,0.0,0.0,0.0,0.75,,,3.0,42,7900,7827,7001,6968,0.995286,0.49911142808284015,0.12700040020996292,0.5017803870391278,True,True,,,536.1,3.2
E1,ribba,sift,sauvola,0,0,,homography,0.0,15,1.15,30,20,0.0,0.75,,,3.0,42,4942,3652,974,647,0.664271,0.15899704331830153,0.04045727466347178,0.22518566973548754,True,True,,,397.3,1.3
E1,ribba,sift,sauvola,0,0,,homography,0.25,15,1.15,30,20,0.0,0.75,,,3.0,42,4942,4023,859,582,0.677532,0.1666806652973527,0.042412395326907285,0.3853497422716221,True,True,,,401.3,1.0
E1,ribba,sift,sauvola,0,0,,homography,0.5,15,1.15,30,20,0.0,0.75,,,3.0,42,4942,4233,663,419,0.631976,0.1427983882379547,0.03633547828231229,0.3209235192151741,True,True,,,421.8,1.1
E1,ribba,sift,sauvola,0,0,,homography,0.75,15,1.15,30,20,0.0,0.75,,,3.0,42,4942,2483,375,161,0.429333,0.43461840047712763,0.11058995585660655,1.4011700081483087,True,True,,,373.3,3.7
E1,ribba,sift,sauvola,0,0,,homography,1.0,15,1.15,30,20,0.0,0.75,,,3.0,42,4942,6527,212,90,0.424528,0.2758927640860433,0.07020174149998597,0.4844133594350579,True,True,,,430.0,3.9
E1,ribba,sift,sauvola,0,0,,homography,1.1,15,1.15,30,20,0.0,0.75,,,3.0,42,4942,13767,236,78,0.330508,558.8840371302869,142.20971989991287,1026.8271873071906,True,False,,,565.1,10.4
E1,ribba,sift,sauvola,0,0,,homography,1.2,15,1.15,30,20,0.0,0.75,,,3.0,42,4942,17993,128,38,0.296875,0.9426703147722518,0.2398652896047438,2.1337643708802947,True,True,,,613.5,15.5
E1,ribba,sift,sauvola,0,0,,homography,1.3,15,1.15,30,20,0.0,0.75,,,3.0,42,4942,19305,36,18,0.5,2.0706971368952916,0.5268950985744176,6.37157980537591,True,False,,,644.4,2.3
E1,ribba,sift,sauvola,0,0,,homography,1.4,15,1.15,30,20,0.0,0.75,,,3.0,42,4942,19339,12,4,0.333333,782.7232115913478,199.1662693590532,2326.346447675503,True,False,,,631.4,9.7
E1,ribba,sift,sauvola,0,0,,homography,1.5,15,1.15,30,20,0.0,0.75,,,,42,4942,18177,6,0,0.0,,,,False,False,RANSAC non ha trovato un modello,,623.6,1.1
E1,ribba,sift,sauvola,0,0,,homography,0.0,0,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4942,4942,4927,4927,1.0,5.176878035687345e-13,1.317272146814752e-13,1.4871406540758715e-12,True,True,,,401.9,1.4
E1,ribba,sift,sauvola,0,0,,homography,0.0,5,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4942,4670,1348,1042,0.772997,0.0418881708286824,0.010658570731870723,0.07740963304546429,True,True,,,396.2,0.9
E1,ribba,sift,sauvola,0,0,,homography,0.0,15,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4942,4607,1244,911,0.732315,0.11520770593579165,0.02931494639847999,0.18913514653879349,True,True,,,402.4,1.3
E1,ribba,sift,sauvola,0,0,,homography,0.0,30,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4942,4339,1219,861,0.706317,0.21508049291426753,0.05472787666351411,0.28763795441814943,True,True,,,386.3,1.0
E1,ribba,sift,sauvola,0,0,,homography,0.0,45,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4942,4269,1266,868,0.685624,0.27125374148463177,0.06902132828198901,0.2930237363845237,True,True,,,391.0,1.2
E1,ribba,sift,sauvola,0,0,,homography,0.0,90,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4942,4924,4630,4609,0.995464,0.4994966744397269,0.12709842730121182,0.5018009547776326,True,True,,,401.6,1.7
E1,ribba,orb,none,0,0,,homography,0.0,15,1.15,30,20,0.0,,,,3.0,42,5000,5000,2564,1866,0.727769,0.48936863539319214,0.12452131738170391,1.245926172465497,True,True,,,683.8,1.5
